epoch,train_entropy,train_mce,val_entropy,val_mce
106,0.011042,0.000000,0.488899,0.126000
107,0.010755,0.000000,0.489069,0.126000
108,0.010481,0.000000,0.489250,0.126000
109,0.010220,0.000000,0.489441,0.126000
110,0.009971,0.000000,0.489643,0.125000
111,0.009733,0.000000,0.489853,0.124000
112,0.009505,0.000000,0.490070,0.124000
113,0.009288,0.000000,0.490295,0.124000
114,0.009079,0.000000,0.490525,0.124000
115,0.008879,0.000000,0.490760,0.123000
116,0.008686,0.000000,0.490998,0.124000
117,0.008502,0.000000,0.491239,0.123000
118,0.008324,0.000000,0.491481,0.123000
119,0.008153,0.000000,0.491723,0.123000
120,0.007989,0.000000,0.491965,0.123000
121,0.007831,0.000000,0.492205,0.123000
122,0.007678,0.000000,0.492444,0.123000
123,0.007531,0.000000,0.492682,0.123000
124,0.007390,0.000000,0.492917,0.123000
125,0.007254,0.000000,0.493152,0.122000
126,0.007123,0.000000,0.493385,0.122000
127,0.006996,0.000000,0.493618,0.121000
128,0.006874,0.000000,0.493850,0.119000
129,0.006756,0.000000,0.494083,0.119000
130,0.006643,0.000000,0.494316,0.119000
131,0.006533,0.000000,0.494549,0.119000
132,0.006426,0.000000,0.494783,0.119000
133,0.006324,0.000000,0.495018,0.119000
134,0.006224,0.000000,0.495253,0.119000
135,0.006128,0.000000,0.495489,0.119000
136,0.006034,0.000000,0.495725,0.119000
137,0.005944,0.000000,0.495963,0.119000
138,0.005856,0.000000,0.496201,0.119000
139,0.005770,0.000000,0.496439,0.119000
140,0.005687,0.000000,0.496678,0.119000
141,0.005607,0.000000,0.496917,0.119000
142,0.005529,0.000000,0.497157,0.119000
143,0.005453,0.000000,0.497396,0.119000
144,0.005379,0.000000,0.497636,0.119000
145,0.005307,0.000000,0.497876,0.119000
146,0.005237,0.000000,0.498116,0.119000
147,0.005169,0.000000,0.498356,0.119000
148,0.005102,0.000000,0.498596,0.119000
149,0.005037,0.000000,0.498835,0.120000
150,0.004974,0.000000,0.499074,0.120000
